r, g, b, x, y, z, L1, a1, b1, new_x, new_y, new_z, L2, a2, b2, percentage, d
0 48 112 4.092 2.774 18.394 5.014 13.197 -29.001 3.148 2.134 14.149 3.857 12.092 -26.573 30 2.908
0 48 120 4.721 2.977 21.678 5.381 16.055 -31.783 3.632 2.29 16.675 4.139 14.71 -29.122 30 3.23
0 48 128 5.392 3.193 25.182 5.772 18.742 -34.409 4.148 2.456 19.37 4.44 17.172 -31.528 30 3.541
0 48 136 6.172 3.445 29.256 6.227 21.504 -37.125 4.748 2.65 22.504 4.79 19.704 -34.016 30 3.869
0 48 144 6.971 3.702 33.425 6.693 24.018 -39.613 5.362 2.848 25.711 5.148 22.007 -36.296 30 4.175
0 48 152 7.779 3.963 37.642 7.164 26.305 -41.895 5.984 3.048 28.955 5.511 24.102 -38.387 30 4.46
0 48 160 8.605 4.23 41.957 7.646 28.431 -44.032 6.619 3.254 32.274 5.881 26.05 -40.345 30 4.73
0 48 168 9.459 4.505 46.415 8.143 30.441 -46.069 7.276 3.465 35.704 6.264 27.892 -42.211 30 4.991
0 48 176 10.345 4.791 51.042 8.643 32.361 -48.028 7.958 3.685 39.263 6.662 29.651 -44.006 30 5.239
0 48 184 11.278 5.092 55.911 9.148 34.228 -49.948 8.675 3.917 43.008 7.08 31.361 -45.766 30 5.476
0 48 192 12.306 5.423 61.281 9.683 36.133 -51.923 9.467 4.172 47.139 7.541 33.107 -47.575 30 5.714
0 48 200 13.666 5.862 68.381 10.358 38.446 -54.341 10.513 4.509 52.601 8.15 35.227 -49.79 30 5.995
0 48 208 15.146 6.339 76.107 11.054 40.744 -56.764 11.651 4.876 58.544 8.789 37.332 -52.01 30 6.274
